Parent_name,Gram_stain,Motility,Cell_shape,Culture_temperature_range,Oxygen_tolerance,Spore_formation,Biosafety_level
Abditibacterium utsteinense,NA,NA,NA,psychrophilic,NA,NA,NA
Abiotrophia defectiva,NA,NA,NA,mesophilic,NA,NA,NA
Absicoccus porci,NA,NA,NA,mesophilic,NA,NA,NA
Abyssalbus ytuae,NA,NA,NA,NA,NA,NA,NA
Abyssibacter profundi,negative,yes,rod,mesophilic,NA,NA,NA
Abyssicoccus albus,NA,NA,NA,mesophilic,NA,NA,NA
Abyssisolibacter fermentans,NA,NA,NA,mesophilic,NA,NA,NA
Acanthopleuribacter pedis,negative,yes,rod,mesophilic,NA,no,BSL-1
Acaricomes phytoseiuli,positive,NA,coccus,mesophilic,NA,no,BSL-1
Acetanaerobacterium elongatum,positive,yes,rod,NA,NA,no,NA
Acetatifactor aquisgranensis,NA,NA,NA,mesophilic,NA,NA,NA
Acetatifactor muris,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetilactobacillus jinshanensis,positive,no,rod,mesophilic,NA,no,NA
Acetitomaculum ruminis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetivibrio aldrichii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetivibrio cellulolyticus,NA,NA,NA,NA,NA,NA,BSL-1
Acetivibrio ethanolgignens,NA,NA,NA,mesophilic,NA,NA,BSL-2
Acetivibrio mesophilus,positive,no,rod,thermophilic,NA,yes,NA
Acetivibrio saccincola,NA,NA,NA,thermophilic,NA,NA,NA
Acetivibrio straminisolvens,NA,no,NA,thermophilic,NA,yes,BSL-1
Acetivibrio thermocellus,NA,NA,NA,thermophilic,NA,NA,BSL-1
Acetoanaerobium noterae,NA,NA,NA,NA,NA,NA,BSL-1
Acetoanaerobium pronyense,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetoanaerobium sticklandii,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter aceti,NA,NA,NA,mesophilic,NA,NA,NA
Acetobacter cerevisiae,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter cibinongensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter conturbans,NA,NA,NA,NA,NA,NA,NA
Acetobacter estunensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter fabarum,negative,yes,rod,mesophilic,NA,NA,BSL-1
Acetobacter fallax,NA,NA,NA,NA,NA,NA,NA
Acetobacter farinalis,NA,NA,NA,NA,NA,NA,BSL-1
Acetobacter garciniae,NA,NA,NA,NA,NA,NA,NA
Acetobacter ghanensis,negative,NA,rod,mesophilic,NA,NA,BSL-1
Acetobacter indonesiensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter lambici,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter lovaniensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter malorum,negative,no,NA,mesophilic,NA,no,BSL-1
Acetobacter musti,negative,yes,coccus,mesophilic,NA,NA,BSL-1
Acetobacter nitrogenifigens,negative,yes,rod,mesophilic,NA,NA,BSL-1
Acetobacter oeni,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter okinawensis,NA,NA,NA,mesophilic,NA,NA,NA
Acetobacter orientalis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter orleanensis,NA,NA,NA,mesophilic,NA,NA,BSL-1
Acetobacter oryzifermentans,NA,NA,NA,mesophilic,NA,NA,NA
Acetobacter oryzoeni,NA,NA,NA,mesophilic,NA,NA,NA
Acetobacter papayae,NA,NA,NA,mesophilic,NA,NA,NA
Acetobacter pasteurianus,NA,NA,NA,NA,NA,NA,NA
Acetobacter persici,NA,NA,NA,mesophilic,NA,NA,NA
