binomial_name;motility;gram_staining;aerophilicity;extreme_environment_tolerance;biofilm_formation;animal_pathogenicity;biosafety_level;health_association;host_association;plant_pathogenicity;spore_formation;hemolysis;cell_shape
Ancylobacter aquaticus;FALSE;gram stain negative;aerobic;NA;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Photorhabdus caribbeanensis;TRUE;gram stain negative;NA;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Photorhabdus hainanensis;TRUE;gram stain negative;NA;NA;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Vibrio crosai;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus
Kosakonia oryzendophytica;TRUE;gram stain negative;aerobic;FALSE;NA;NA;NA;NA;TRUE;NA;FALSE;NA;bacillus
Kosakonia oryziphila;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;TRUE;NA;FALSE;NA;bacillus
Pseudomonas kuykendallii;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus
Companilactobacillus ginsenosidimutans;FALSE;gram stain positive;anaerobic;NA;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;NA
Sphingobacterium mizutaii;FALSE;gram stain negative;aerobic;NA;NA;NA;biosafety level 1;NA;NA;NA;FALSE;NA;NA
Xylanimonas pachnodae;FALSE;gram stain positive;anaerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Pseudomonas alcaliphila;TRUE;gram stain negative;aerobic;TRUE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus
Burkholderia ubonensis;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;TRUE;FALSE;gamma;bacillus
Polycladomyces subterraneus;FALSE;gram stain positive;aerobic;NA;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;NA
Domibacillus enclensis;TRUE;gram stain positive;aerobic;NA;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;NA
