binomial_name;motility;gram_staining;aerophilicity;extreme_environment_tolerance;biofilm_formation;animal_pathogenicity;biosafety_level;health_association;host_association;plant_pathogenicity;spore_formation;hemolysis;cell_shape
Vibrio crosai;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus
Kosakonia oryziphila;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;TRUE;NA;FALSE;NA;bacillus
Pseudomonas kuykendallii;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus
Xylanimonas pachnodae;FALSE;gram stain positive;anaerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Pseudomonas alcaliphila;TRUE;gram stain negative;aerobic;TRUE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus
Burkholderia ubonensis;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;TRUE;FALSE;gamma;bacillus
Amycolatopsis albidoflavus;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;NA;FALSE;TRUE;NA;NA
Proteus penneri;TRUE;gram stain negative;aerobic;FALSE;TRUE;FALSE;biosafety level 2;NA;TRUE;FALSE;FALSE;NA;bacillus
Streptomyces ipomoeae;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;TRUE;TRUE;NA;tail
Brevibacterium senegalense;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Aminobacter anthyllidis;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Methanosarcina spelaei;FALSE;NA;anaerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;NA;NA;coccus
Kutzneria kofuensis;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;bacillus
Actinokineospora globicatena;TRUE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
Rhodococcus pyridinivorans;FALSE;gram stain positive;aerobic;TRUE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus
Nonomuraea turkmeniaca;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;bacillus
Bradyrhizobium murdochi;TRUE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus
