Binomial name
Ancylobacter aquaticus
Photorhabdus caribbeanensis
Photorhabdus hainanensis
Kosakonia oryzendophytica
Companilactobacillus ginsenosidimutans
Sphingobacterium mizutaii
Polycladomyces subterraneus
Domibacillus enclensis
Exiguobacterium enclense
Pseudonocardia tetrahydrofuranoxydans
Nocardioides soli
Lentzea flava
Saccharothrix syringae
Saccharothrix texasensis
Pelagimonas phthalicica
Chryseobacterium tructae
Streptomonospora salina
Tenacibaculum mesophilum
Methanothermobacter crinale
Chitinophaga filiformis
Marichromatium gracile
Nocardiopsis coralliicola
Aliidiomarina shirensis
Saccharothrix stipae
Kocuria indica
Saccharothrix tamanrassetensis
Pseudomonas spelaei
Gordonia phosphorivorans
Cereibacter sphaeroides
Streptosporangium subroseum
Pedobacter kyungheensis
Herbidospora soli
Halarchaeum solikamskense
Methylobacterium fujisawaense
Companilactobacillus heilongjiangensis
Phytohabitans flavus
Phytohabitans rumicis
Phytohabitans houttuyneae
Streptomyces manipurensis
Actinoallomurus liliacearum
Actinoallomurus vinaceus
Neoroseomonas soli
Magnetospirillum fulvum
Comamonas nitrativorans
Allofrancisella frigidaquae
Nocardiopsis trehalosi
Nocardiopsis tropica
Idiomarina piscisalsi
Thermococcus guaymasensis
Saccharothrix ecbatanensis
Rathayibacter festucae
Moritella abyssi
Pseudomonas ogarae
Romboutsia ilealis
Spirillospora rubra
Actinocorallia longicatena
Actinomadura oligospora
Psychrobacter pacificensis
Amycolatopsis rubida
Streptomyces tremellae
Kribbella soli
Kribbella sindirgiensis
Nonomuraea muscovyensis
Brevibacillus fulvus
Microvirga makkahensis
Microvirga arabica
Pseudonocardia hierapolitana
Saccharopolyspora hattusasensis
Rhizobium helianthi
Paracoccus rhizosphaerae
Cryptosporangium minutisporangium
Lutibacter holmesii
Geodermatophilus tzadiensis
Geodermatophilus siccatus
Geodermatophilus africanus
Geodermatophilus saharensis
Mogibacterium neglectum
Pseudomonas prosekii
Pseudoxanthobacter liyangensis
Lactococcus taiwanensis
Psychroflexus salarius
Roseovarius litoreus
Micromonospora fiedleri
Desulfotignum balticum
Kosakonia sacchari
Paraliobacillus salinarum
Enterococcus lemanii
Enterococcus eurekensis
Mycetocola zhadangensis
Melaminivora alkalimesophila
Rhizobium cauense
Aquibacillus albus
Nocardioides glacieisoli
[Desulfovibrio] dechloracetivorans
Paenibacillus lignilyticus
Paenibacillus artemisiicola
Anoxybacillus kaynarcensis
Ruegeria arenilitoris
Vreelandella songnenensis
Kocuria dechangensis
Planomicrobium soli
Methanobacterium congolense
Methanoculleus chikugoensis
Amycolatopsis jiangsuensis
Kineococcus endophyticus
Saccharopolyspora dendranthemae
Gryllotalpicola reticulitermitis
Natrinema salaciae
Nonomuraea thailandensis
Rheinheimera muenzenbergensis
Alloalcanivorax gelatiniphagus
Wenyingzhuangia marina
Hymenobacter aerophilus
Paenibacillus granivorans
Paracoccus laeviglucosivorans
Haloarchaeobius salinus
Puniceibacterium antarcticum
Streptomyces mangrovi
Pseudonocardia nematodicida
Marinomonas profundimaris
Photorhabdus noenieputensis
Flavobacterium arsenitoxidans
Spirosoma aerolatum
Paracoccus sediminis
Streptomyces chumphonensis
Nocardia bhagyanarayanae
Catellatospora methionotrophica
Priestia abyssalis
Microvirga vignae
Oceanobacillus arenosus
Saccharopolyspora indica
Neoroseomonas marina
Nesterenkonia massiliensis
Nosocomiicoccus massiliensis
Nonomuraea flavida
Mucilaginibacter xinganensis
Nocardiopsis akesuensis
Hymenobacter perfusus
Iodidimonas gelatinilytica
Pedobacter nutrimenti
Sphingomonas yantingensis
Kaistella carnis
Fuchsiella ferrireducens
Acidipropionibacterium damnosum
Jannaschia faecimaris
Flagellimonas pacifica
Pseudooceanicola antarcticus
Ornithinimicrobium humiphilum
Desulfonatronum zhilinae
Leucobacter zeae
Streptomyces barkulensis
Vreelandella nanhaiensis
Arthrobacter cheniae
Arthrobacter frigidicola
Cryobacterium glaciale
Cryobacterium frigoriphilum
Cryobacterium gelidum
Cryobacterium ruanii
Cryobacterium suzukii
Cryobacterium serini
Cryobacterium lyxosi
Arcticibacter pallidicorallinus
Sphingomonas psychrolutea
Psychrobacillus psychrotolerans
Halodesulfovibrio aestuarii
Chryseobacterium camelliae
Paenibacillus glycanilyticus
Glaciihabitans tibetensis
Salinicola peritrichatus
Croceibacterium atlanticum
Frondihabitans sucicola
Pedobacter jejuensis
Hymenobacter arcticus
Dermacoccus nishinomiyaensis
Veronia nyctiphanis
Hymenobacter kanuolensis
Saccharothrix carnea
Cloacibacterium haliotis
Flaviflexus salsibiostraticola
Sphingorhabdus rigui
Bacillus fengqiuensis
Tessaracoccus defluvii
Nonomuraea harbinensis
Micromonospora andamanensis
Aequorivita nionensis
Nioella nitratireducens
Stenotrophomonas acidaminiphila
Cohnella terricola
Actinomycetospora atypica
Halocynthiibacter namhaensis
Nonomuraea fuscirosea
Salinifilum ghardaiensis
Thalassospira alkalitolerans
Actibacter haliotis
Larsenimonas salina
Oceanimonas baumannii
Aquimarina pacifica
Enterococcus xiangfangensis
Geodermatophilus amargosae
Aquabacterium olei
Microbacterium nanhaiense
Streptosporangium shengliense
Massilia kyonggiensis
Enterococcus alishanensis
Algibacter miyuki
Deinococcus radiotolerans
Thiomicrorhabdus arctica
Brevundimonas bullata
Halopseudomonas salina
Roseibium aquae
Pseudomonas kilonensis
Sinomonas susongensis
Tenacibaculum caenipelagi
Idiomarina aquatica
Clostridium bowmanii
Alkalispirochaeta odontotermitis
Alkalilimnicola halodurans
Polaribacter atrinae
Geodermatophilus poikilotrophus
Granulicella acidiphila
Corynebacterium atrinae
Streptosporangium nanhuense
Sinomonas humi
Bacillus ndiopicus
Anaerosalibacter massiliensis
Nesterenkonia rhizosphaerae
Chelatococcus caeni
Jatrophihabitans fulvus
Rufibacter immobilis
Flavihumibacter solisilvae
Nocardia fluminea
Flavobacterium lacus
Colwellia meonggei
Flavobacterium faecale
Aliarcobacter lanthieri
Terrabacter koreensis
Lactococcus cremoris
Nocardiopsis oceani
Nocardiopsis nanhaiensis
Halorientalis persicus
Marinococcus halophilus
Asanoa ishikariensis
Thalassomonas viridans
Halobellus ramosii
Alkalibacillus almallahensis
Halolamina rubra
Pseudidiomarina woesei
Sphingobacterium gobiense
Glycocaulis albus
Streptomonospora tuzyakensis
Streptobacillus felis
Aequorivita soesokkakensis
Halomonas heilongjiangensis
Marinobacter shengliensis
Mycobacterium paragordonae
Dietzia psychralcaliphila
Mucilaginibacter pineti
Pseudooctadecabacter jejudonensis
Rubrobacter calidifluminis
Rubrobacter naiadicus
Rhodanobacter koreensis
Rossellomorea oryzaecorticis
Ectothiorhodospira marina
Leisingera aquaemixtae
Granulosicoccus marinus
Mariniluteicoccus flavus
Martelella radicis
Martelella mangrovi
Paraburkholderia metalliresistens
Bythopirellula goksoeyrii
Pontibacter yuliensis
Gracilibacillus alcaliphilus
Leuconostoc rapi
Rhodoplanes oryzae
Chromohalobacter canadensis
Chromohalobacter israelensis
[Flavobacterium] thermophilum
Chryseobacterium artocarpi
Oceanisphaera profunda
Marinobacter similis
Marinobacter salarius
Dactylosporangium sucinum
Cryobacterium flavum
Cryobacterium luteum
Falsiroseomonas wooponensis
Zobellia uliginosa
Salinicoccus sediminis
Halorubrum laminariae
Glycocaulis alkaliphilus
Dactylosporangium cerinum
Arcticibacter eurypsychrophilus
Actinopolyspora salinaria
Secundilactobacillus mixtipabuli
Simiduia litorea
Paenibacillus oenotherae
Sphaerisporangium dianthi
Plantactinospora veratri
Actinacidiphila bryophytorum
Pontibacter chinhatensis
Sphingobacterium yanglingense
Pullulanibacillus pueri
Domibacillus indicus
Hymenobacter terrae
Chryseomicrobium aureum
Micromonospora vulcania
Streptosporangium corydalis
Methylorubrum suomiense
Massilia norwichensis
Flavihumibacter cheonanensis
Brevundimonas denitrificans
Lysobacter caeni
Algoriphagus taiwanensis
Ruegeria meonggei
Lutimonas halocynthiae
Maribacter caenipelagi
Amycolatopsis rhabdoformis
Halobellus rufus
