Binomial name
Escherichia coli
Staphylococcus aureus
Pseudomonas aeruginosa
Helicobacter pylori
Mycobacterium tuberculosis
Bacillus subtilis
Streptococcus pneumoniae
Klebsiella pneumoniae
Listeria monocytogenes
Haemophilus influenzae
Streptococcus pyogenes
Lactobacillus acidophilus
Bacillus thuringiensis
Salmonella enterica
Neisseria gonorrhoeae
Vibrio cholerae
Staphylococcus epidermidis
Clostridium perfringens
Enterococcus faecium
Acinetobacter baumannii
Neisseria meningitidis
Streptococcus mutans
Proteus mirabilis
Campylobacter jejuni
Agrobacterium tumefaciens
Pseudomonas fluorescens
Bacillus anthracis
Serratia marcescens
Streptococcus thermophilus
Pseudomonas putida
Bifidobacterium longum
Legionella pneumophila
Lactococcus lactis
Streptococcus agalactiae
Yersinia pestis
Enterobacter cloacae
Pseudomonas syringae
Bifidobacterium bifidum
Clostridioides difficile
Moraxella catarrhalis
Proteus vulgaris
Aeromonas hydrophila
Yersinia enterocolitica
Pasteurella multocida
Vibrio parahaemolyticus
Gardnerella vaginalis
Xanthomonas campestris
Bacillus amyloliquefaciens
Shigella flexneri
Burkholderia cepacia
Corynebacterium diphtheriae
Stenotrophomonas maltophilia
Klebsiella oxytoca
Clostridium tetani
Ralstonia solanacearum
Lactobacillus gasseri
Bifidobacterium animalis
Xylella fastidiosa
Micrococcus luteus
Corynebacterium glutamicum
Shigella sonnei
Streptococcus suis
Shigella dysenteriae
Burkholderia pseudomallei
Streptomyces coelicolor
Aggregatibacter actinomycetemcomitans
Staphylococcus saprophyticus
Bordetella bronchiseptica
Brucella melitensis
[Haemophilus] ducreyi
Deinococcus radiodurans
Streptococcus mitis
Streptococcus salivarius
Vibrio harveyi
Xanthomonas oryzae
Erwinia amylovora
Azospirillum brasilense
Prevotella intermedia
Leptospira interrogans
Sinorhizobium meliloti
Yersinia pseudotuberculosis
Streptomyces griseus
Bacteroides thetaiotaomicron
Faecalibacterium prausnitzii
Thermotoga maritima
Actinobacillus pleuropneumoniae
Cutibacterium acnes
Listeria innocua
Campylobacter coli
Staphylococcus haemolyticus
Chromobacterium violaceum
Eikenella corrodens
Bacillus velezensis
Mannheimia haemolytica
Alcaligenes faecalis
Vibrio anguillarum
Pediococcus pentosaceus
Clostridium acetobutylicum
Thermus aquaticus
Treponema denticola
Mycobacterium marinum
Geobacillus stearothermophilus
Tannerella forsythia
Burkholderia cenocepacia
Lactobacillus crispatus
Enterococcus hirae
Xanthomonas axonopodis
Rhodopseudomonas palustris
Cronobacter sakazakii
Myxococcus xanthus
Pantoea agglomerans
Rickettsia rickettsii
Acinetobacter lwoffii
Streptococcus equi
Paenibacillus polymyxa
Streptomyces avermitilis
Mycobacterium ulcerans
Fusobacterium necrophorum
Lactobacillus johnsonii
Bifidobacterium adolescentis
Staphylococcus hominis
Providencia rettgeri
Shewanella putrefaciens
Streptococcus gordonii
Burkholderia mallei
Streptomyces viridochromogenes
Streptococcus dysgalactiae
Mycobacterium kansasii
Actinomyces naeslundii
Streptomyces hygroscopicus
Rhodococcus erythropolis
Achromobacter xylosoxidans
Streptococcus uberis
Citrobacter koseri
Clostridium sporogenes
Actinomyces viscosus
Shigella boydii
Providencia stuartii
Pectobacterium carotovorum
Erysipelothrix rhusiopathiae
Rickettsia prowazekii
Desulfovibrio vulgaris
Bordetella parapertussis
Nocardia asteroides
Halobacterium salinarum
Aeromonas veronii
Streptococcus iniae
Pseudomonas chlororaphis
Staphylococcus pseudintermedius
Prevotella nigrescens
Desulfovibrio desulfuricans
Staphylococcus xylosus
Haloferax volcanii
Lacticaseibacillus paracasei
Propionibacterium freudenreichii
Mycobacterium intracellulare
Actinomyces oris
Plesiomonas shigelloides
Staphylococcus lugdunensis
Nitrosomonas europaea
Mycoplasma mycoides
Bacteroides ovatus
Flavobacterium columnare
Pseudomonas alcaligenes
Photorhabdus luminescens
Corynebacterium pseudotuberculosis
Photobacterium phosphoreum
Bacillus mycoides
Streptomyces venezuelae
Corynebacterium pseudodiphtheriticum
Rickettsia conorii
Methanosarcina barkeri
Bartonella quintana
Streptomyces clavuligerus
Gluconobacter oxydans
Clostridium pasteurianum
Clostridium septicum
Corynebacterium minutissimum
Staphylococcus warneri
Aeromonas caviae
Enterococcus durans
Histophilus somni
Streptococcus intermedius
Limosilactobacillus fermentum
Staphylococcus capitis
Bacteroides uniformis
Weissella cibaria
Bacillus atrophaeus
Brevundimonas diminuta
Corynebacterium jeikeium
Lysinibacillus sphaericus
Streptococcus canis
Clostridium novyi
Mesorhizobium loti
Parabacteroides distasonis
Bartonella bacilliformis
Comamonas testosteroni
Herbaspirillum seropedicae
Pseudomonas savastanoi
Pseudomonas mendocina
Prevotella melaninogenica
Rhodococcus rhodochrous
Flavobacterium psychrophilum
Burkholderia multivorans
Eggerthella lenta
Saccharopolyspora erythraea
Staphylococcus carnosus
Bdellovibrio bacteriovorus
Burkholderia gladioli
Vibrio splendidus
Aliivibrio fischeri
Ralstonia pickettii
Enterococcus gallinarum
Streptococcus gallolyticus
Rhodococcus opacus
Ruegeria pomeroyi
Azospirillum lipoferum
Klebsiella variicola
Bacillus safensis
Helicobacter hepaticus
Neisseria sicca
Aeromonas sobria
Pantoea ananatis
Streptococcus constellatus
Pseudomonas fragi
Sinorhizobium fredii
Mycolicibacterium smegmatis
Brachyspira hyodysenteriae
Enterococcus casseliflavus
Alicyclobacillus acidoterrestris
Nocardia farcinica
Burkholderia glumae
Brevibacterium linens
Campylobacter rectus
Rhodococcus jostii
Leuconostoc citreum
Listeria ivanovii
Bacillus mojavensis
Levilactobacillus brevis
Trueperella pyogenes
Arthrobacter globiformis
Staphylococcus simulans
Delftia acidovorans
Acetobacter pasteurianus
Weissella confusa
Lactobacillus jensenii
Rhodococcus ruber
Pseudomonas oleovorans
Moraxella osloensis
Corynebacterium striatum
Serratia plymuthica
Dichelobacter nodosus
Nocardia brasiliensis
Thiobacillus denitrificans
Ideonella sakaiensis
Pectobacterium atrosepticum
Bacillus tequilensis
Corynebacterium xerosis
Renibacterium salmoninarum
Vibrio mimicus
Kocuria rhizophila
Dickeya dadantii
Raoultella ornithinolytica
Acinetobacter junii
Agrobacterium fabrum
Bacillus spizizenii
Staphylococcus hyicus
Amycolatopsis mediterranei
Streptomyces peucetius
Sorangium cellulosum
Brevibacillus brevis
[Clostridium] leptum
Finegoldia magna
Clostridium ljungdahlii
Janthinobacterium lividum
Rickettsia parkeri
Pantoea stewartii
Corynebacterium ulcerans
Stigmatella aurantiaca
Oxalobacter formigenes
Bilophila wadsworthia
Clostridium kluyveri
Carnobacterium maltaromaticum
Nocardia africana
Lysinibacillus fusiformis
Serratia proteamaculans
Salmonella bongori
Campylobacter concisus
Enterococcus mundtii
Elizabethkingia meningoseptica
Bradyrhizobium elkanii
Burkholderia vietnamiensis
Corynebacterium urealyticum
Neisseria lactamica
Xanthomonas albilineans
Avibacterium paragallinarum
Burkholderia ambifaria
Geobacillus thermodenitrificans
Rothia mucilaginosa
Streptomyces noursei
Citrobacter amalonaticus
Elizabethkingia anophelis
Acinetobacter pittii
Rhizobium phaseoli
Xenorhabdus nematophila
Pseudomonas plecoglossicida
Aerococcus urinae
Leuconostoc carnosum
Proteus penneri
Halomonas elongata
Ligilactobacillus salivarius
Lactobacillus kefiranofaciens
Chitinophaga pinensis
Leclercia adecarboxylata
Streptococcus parasanguinis
Porphyromonas endodontalis
Alteromonas macleodii
Pseudomonas viridiflava
Klebsiella granulomatis
Caulobacter vibrioides
Enterobacter ludwigii
Rickettsia bellii
Streptomyces lydicus
Bifidobacterium pseudocatenulatum
Streptomyces albidoflavus
Streptomyces ambofaciens
Citrobacter braakii
Shewanella baltica
Eubacterium limosum
Streptomyces rochei
Paenibacillus mucilaginosus
Leptospira borgpetersenii
Acinetobacter radioresistens
Raoultella planticola
Sphingobium yanoikuyae
Bacteroides caccae
Xanthomonas euvesicatoria
Thermotoga neapolitana
Staphylococcus schleiferi
Bifidobacterium dentium
Leuconostoc pseudomesenteroides
Rickettsia akari
Kocuria rosea
Staphylococcus equorum
Pseudomonas tolaasii
Pseudomonas koreensis
Legionella longbeachae
Bordetella avium
Mycobacteroides abscessus
Priestia megaterium
Microbacterium testaceum
Komagataeibacter xylinus
Serratia fonticola
Amycolatopsis orientalis
Pseudoalteromonas piscicida
Pseudomonas luteola
Methylomonas methanica
Pantoea dispersa
Filifactor alocis
Pectobacterium parmentieri
Salinispora tropica
Paenarthrobacter aurescens
Mesorhizobium ciceri
Dickeya solani
Neisseria subflava
Xanthomonas fragariae
Staphylococcus chromogenes
Bacillus toyonensis
Mycobacterium scrofulaceum
Pandoraea pnomenusa
Pseudomonas veronii
Streptomyces scabiei
Paenibacillus alvei
Staphylococcus caprae
Prevotella oris
Streptomyces kanamyceticus
Bifidobacterium thermophilum
Capnocytophaga ochracea
Neisseria mucosa
Pseudomonas oryzihabitans
Pseudomonas marginalis
Arthrobacter psychrolactophilus
Mycobacterium simiae
Streptomyces nodosus
Pseudomonas brassicacearum
Bacillus vallismortis
Nitrobacter winogradskyi
Deinococcus geothermalis
Edwardsiella piscicida
[Clostridium] innocuum
Pseudomonas monteilii
Hydrogenovibrio crunogenus
Staphylococcus pasteuri
Serratia rubidaea
Acinetobacter nosocomialis
Stenotrophomonas rhizophila
Listeria welshimeri
Xanthomonas perforans
Priestia flexa
Rickettsia sibirica
Novosphingobium aromaticivorans
Helicobacter heilmannii
Lactiplantibacillus pentosus
Corynebacterium amycolatum
Xanthomonas phaseoli
Pseudomonas nitroreducens
Cellvibrio japonicus
Latilactobacillus sakei
Streptomyces alboniger
Bartonella vinsonii
Geobacillus thermoleovorans
Lentilactobacillus buchneri
Raoultella terrigena
Kocuria flava
Streptococcus parauberis
Dickeya zeae
Glaesserella parasuis
Campylobacter upsaliensis
Pseudomonas citronellolis
Comamonas thiooxydans
Listeria seeligeri
Streptomyces tendae
Actinomadura madurae
Brevibacterium casei
Brevibacillus reuszeri
Bacteroides xylanisolvens
Borreliella burgdorferi
Photobacterium profundum
Photobacterium kishitanii
Clostridium tertium
Pseudomonas paraeruginosa
Fusobacterium varium
Ensifer adhaerens
Rickettsia massiliae
Planococcus rifietoensis
Rubrivivax gelatinosus
Burkholderia contaminans
Bacillus paramycoides
Alteromonas naphthalenivorans
Bacillus halotolerans
Streptomyces platensis
Streptomyces parvulus
Caulobacter flavus
Bartonella apis
Vibrio furnissii
Capnocytophaga gingivalis
Macrococcus caseolyticus
Nitrosomonas eutropha
Prevotella denticola
Sagittula stellata
Nitratireductor indicus
