Binomial name,Search count
Escherichia coli,118000000
Staphylococcus aureus,70100000
Pseudomonas aeruginosa,34300000
Helicobacter pylori,30500000
Mycobacterium tuberculosis,20700000
Bacillus subtilis,17900000
Streptococcus pneumoniae,13500000
Klebsiella pneumoniae,13500000
Listeria monocytogenes,11700000
Haemophilus influenzae,10500000
Streptococcus pyogenes,7100000
Lactobacillus acidophilus,6550000
Bacillus thuringiensis,4750000
Salmonella enterica,4460000
Neisseria gonorrhoeae,4320000
Vibrio cholerae,3930000
Staphylococcus epidermidis,3770000
Clostridium perfringens,3320000
Enterococcus faecium,3080000
Acinetobacter baumannii,3040000
Neisseria meningitidis,2450000
Streptococcus mutans,2450000
Proteus mirabilis,2440000
Campylobacter jejuni,1980000
Agrobacterium tumefaciens,1930000
Pseudomonas fluorescens,1730000
Bacillus anthracis,1630000
Serratia marcescens,1600000
Streptococcus thermophilus,1570000
Pseudomonas putida,1530000
Bifidobacterium longum,1520000
Legionella pneumophila,1470000
Lactococcus lactis,1450000
Streptococcus agalactiae,1320000
Yersinia pestis,1320000
Enterobacter cloacae,1130000
Pseudomonas syringae,1100000
Bifidobacterium bifidum,984000
Clostridioides difficile,886000
Moraxella catarrhalis,876000
Proteus vulgaris,850000
Aeromonas hydrophila,841000
Yersinia enterocolitica,840000
Pasteurella multocida,818000
Vibrio parahaemolyticus,798000
Gardnerella vaginalis,740000
Xanthomonas campestris,679000
Bacillus amyloliquefaciens,653000
Shigella flexneri,640000
Burkholderia cepacia,594000
Corynebacterium diphtheriae,588000
Stenotrophomonas maltophilia,586000
Klebsiella oxytoca,570000
Clostridium tetani,555000
Ralstonia solanacearum,554000
Lactobacillus gasseri,548000
Bifidobacterium animalis,544000
Xylella fastidiosa,540000
Micrococcus luteus,453000
Corynebacterium glutamicum,443000
Shigella sonnei,359000
Streptococcus suis,352000
Shigella dysenteriae,349000
Burkholderia pseudomallei,348000
Streptomyces coelicolor,343000
Aggregatibacter actinomycetemcomitans,339000
Staphylococcus saprophyticus,324000
Bordetella bronchiseptica,319000
Brucella melitensis,303000
[Haemophilus] ducreyi,298000
Deinococcus radiodurans,292000
Streptococcus mitis,289000
Streptococcus salivarius,288000
Vibrio harveyi,286000
Xanthomonas oryzae,279000
Erwinia amylovora,277000
Azospirillum brasilense,274000
Prevotella intermedia,270000
Leptospira interrogans,268000
Sinorhizobium meliloti,255000
Yersinia pseudotuberculosis,248000
Streptomyces griseus,240000
Bacteroides thetaiotaomicron,230000
Faecalibacterium prausnitzii,229000
Thermotoga maritima,226000
Actinobacillus pleuropneumoniae,226000
Cutibacterium acnes,223000
Listeria innocua,222000
Campylobacter coli,222000
Staphylococcus haemolyticus,218000
Chromobacterium violaceum,215000
Eikenella corrodens,208000
Bacillus velezensis,205000
