Binomial name	NCBI_ID	Motility	Gram staining	Aerophilicity	Extreme environment tolerance	Biofilm formation	Animal pathogenicity	Biosafety level	Health association	Host association	Plant pathogenicity	Spore formation	Hemolysis	Cell shape	Member of WA subset	Superkingdom	Phylum	Class	Order	Family	Genus	Species	FTP path	Fasta file
Ancylobacter aquaticus	100	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Xanthobacteraceae	Ancylobacter	Ancylobacter aquaticus	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/339/465/GCF_004339465.1_ASM433946v1	GCF_004339465.1_ASM433946v1_genomic.fasta
Photorhabdus caribbeanensis	1004165	TRUE	gram stain negative	NA	NA	NA	TRUE	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus	Photorhabdus caribbeanensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/892/975/GCA_963892975.1_ena-yuan-GCF_018448885.1	GCA_963892975.1_ena-yuan-GCF_018448885.1_genomic.fasta
Photorhabdus hainanensis	1004166	TRUE	gram stain negative	NA	NA	NA	TRUE	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Photorhabdus	Photorhabdus hainanensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/892/985/GCA_963892985.1_ena-yuan-GCF_018448965.1	GCA_963892985.1_ena-yuan-GCF_018448965.1_genomic.fasta
Vibrio crosai	1004322	TRUE	gram stain negative	aerobic	FALSE	NA	TRUE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio crosai	NA	NA
Kosakonia oryzendophytica	1005665	TRUE	gram stain negative	aerobic	FALSE	NA	NA	NA	NA	TRUE	NA	FALSE	NA	bacillus	FALSE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia oryzendophytica	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/886/705/GCF_027886705.1_ASM2788670v1	GCF_027886705.1_ASM2788670v1_genomic.fasta
Kosakonia oryziphila	1005667	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	TRUE	NA	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia oryziphila	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/094/795/GCA_900094795.1_IMG-taxon_2616644846_annotated_assembly	GCA_900094795.1_IMG-taxon_2616644846_annotated_assembly_genomic.fasta
Pseudomonas kuykendallii	1007099	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas kuykendallii	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/975/GCA_900106975.1_IMG-taxon_2671180037_annotated_assembly	GCA_900106975.1_IMG-taxon_2671180037_annotated_assembly_genomic.fasta
Companilactobacillus ginsenosidimutans	1007676	FALSE	gram stain positive	anaerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus ginsenosidimutans	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/475/GCF_001050475.1_ASM105047v1	GCF_001050475.1_ASM105047v1_genomic.fasta
Sphingobacterium mizutaii	1010	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	NA	FALSE	Bacteria	Bacteroidota	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	Sphingobacterium mizutaii	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/187/125/GCA_900187125.1_50592_G01	GCA_900187125.1_50592_G01_genomic.fasta
Xylanimicrobium pachnodae	101489	FALSE	gram stain positive	anaerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas pachnodae	NA	NA
Pseudomonas alcaliphila	101564	TRUE	gram stain negative	aerobic	TRUE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas alcaliphila	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/755/GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly	GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly_genomic.fasta
Burkholderia ubonensis	101571	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	FALSE	TRUE	FALSE	gamma	bacillus	TRUE	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ubonensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/655/GCF_001718655.1_ASM171865v1	GCF_001718655.1_ASM171865v1_genomic.fasta
Polycladomyces subterraneus	1016997	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Bacillota	Bacilli	Bacillales	Thermoactinomycetaceae	Polycladomyces	Polycladomyces subterraneus	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/433/435/GCF_030433435.1_ASM3043343v1	GCF_030433435.1_ASM3043343v1_genomic.fasta
Domibacillus enclensis	1017273	TRUE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Domibacillus	Domibacillus enclensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/775/GCF_002237775.1_ASM223777v1	GCF_002237775.1_ASM223777v1_genomic.fasta
Exiguobacterium enclense	1017277	TRUE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	FALSE	Bacteria	Bacillota	Bacilli	Bacillales	NA	Exiguobacterium	Exiguobacterium enclense	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/096/925/GCA_900096925.1_IMG-taxon_2616645037_annotated_assembly	GCA_900096925.1_IMG-taxon_2616645037_annotated_assembly_genomic.fasta
Amycolatopsis albidoflavus	102226	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	TRUE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis albidoflavus	NA	NA
Proteus penneri	102862	TRUE	gram stain negative	aerobic	FALSE	TRUE	FALSE	biosafety level 2	NA	TRUE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus penneri	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/369/495/GCA_022369495.1_ASM2236949v1	GCA_022369495.1_ASM2236949v1_genomic.fasta
Pseudonocardia tetrahydrofuranoxydans	102884	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	bacillus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	Pseudonocardia tetrahydrofuranoxydans	NA	NA
Streptomyces ipomoeae	103232	FALSE	gram stain positive	aerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	TRUE	TRUE	NA	tail	TRUE	Bacteria	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces ipomoeae	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/547/165/GCF_006547165.1_ASM654716v1	GCF_006547165.1_ASM654716v1_genomic.fasta
Brevibacterium senegalense	1033736	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Micrococcales	Brevibacteriaceae	Brevibacterium	Brevibacterium senegalense	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/835/GCA_000285835.2_ASM28583v2	GCA_000285835.2_ASM28583v2_genomic.fasta
Aminobacter anthyllidis	1035067	TRUE	gram stain negative	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Aminobacter	Aminobacter anthyllidis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/555/685/GCA_018555685.1_ASM1855568v1	GCA_018555685.1_ASM1855568v1_genomic.fasta
Nocardioides soli	1036020	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides	Nocardioides soli	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/191/495/GCA_014191495.1_ASM1419149v1	GCA_014191495.1_ASM1419149v1_genomic.fasta
Methanosarcina spelaei	1036679	FALSE	NA	anaerobic	FALSE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	NA	NA	coccus	TRUE	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina spelaei	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/287/235/GCF_002287235.1_ASM228723v1	GCF_002287235.1_ASM228723v1_genomic.fasta
Kutzneria kofuensis	103725	FALSE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Kutzneria	Kutzneria kofuensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/203/355/GCA_014203355.1_ASM1420335v1	GCA_014203355.1_ASM1420335v1_genomic.fasta
Actinokineospora globicatena	103729	TRUE	gram stain positive	aerobic	FALSE	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinokineospora	Actinokineospora globicatena	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/268/905/GCF_030268905.1_ASM3026890v1	GCF_030268905.1_ASM3026890v1_genomic.fasta
Lentzea flava	103732	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Lentzea	Lentzea flava	ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/648/475/GCA_014648475.1_ASM1464847v1	GCA_014648475.1_ASM1464847v1_genomic.fasta
Saccharothrix syringae	103733	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	bacillus	FALSE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix syringae	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/035/GCF_009498035.1_ASM949803v1	GCF_009498035.1_ASM949803v1_genomic.fasta
Saccharothrix texasensis	103734	FALSE	gram stain positive	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	TRUE	NA	NA	FALSE	Bacteria	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Saccharothrix	Saccharothrix texasensis	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/752/005/GCF_003752005.1_ASM375200v1	GCF_003752005.1_ASM375200v1_genomic.fasta
Pelagimonas phthalicica	1037362	TRUE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	NA	FALSE	NA	NA	FALSE	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Pelagimonas	Pelagimonas phthalicica	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/364/805/GCF_004364805.1_ASM436480v1	GCF_004364805.1_ASM436480v1_genomic.fasta
Chryseobacterium tructae	1037380	FALSE	gram stain negative	aerobic	NA	NA	NA	biosafety level 1	NA	NA	FALSE	FALSE	NA	NA	FALSE	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium tructae	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/409/875/GCF_030409875.1_ASM3040987v1	GCF_030409875.1_ASM3040987v1_genomic.fasta
Rhodococcus pyridinivorans	103816	FALSE	gram stain positive	aerobic	TRUE	NA	FALSE	biosafety level 1	NA	FALSE	FALSE	FALSE	NA	bacillus	TRUE	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nocardiaceae	Rhodococcus	Rhodococcus pyridinivorans	ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/288/095/GCF_003288095.1_ASM328809v1	GCF_003288095.1_ASM328809v1_genomic.fasta
