Model	Organization	Publication date	Reference	Parameters	Training compute (FLOP)	Training compute notes	Training dataset	Approach	Confidence	Abstract	Epochs	Benchmark data	Model accessibility	Country (of organization)	Last modified	Training cloud compute vendor	Training data center	Archived links	Batch size	Batch size notes	Organization categorization
GLM-4.5	Zhipu AI,Tsinghua University	2025-08-05	GLM-4.5: Agentic, Reasoning, and Coding (ARC) Foundation Models	355000000000	4.42E+24	(6 FLOP/token/parameter) * (23T tokens) * (32B active parameters) = 4.42e24 FLOP			Confident	We present GLM-4.5, an open-source Mixture-of-Experts (MoE) large language model with 355B total parameters and 32B activated parameters, featuring a hybrid reasoning method that supports both thinking and direct response modes. Through multi-stage training on 23T tokens and comprehensive post-training with expert model iteration and reinforcement learning, GLM-4.5 achieves strong performance across agentic, reasoning, and coding (ARC) tasks, scoring 70.1% on TAU-Bench, 91.0% on AIME 24, and 64.2% on SWE-bench Verified. With much fewer parameters than several competitors, GLM-4.5 ranks 3rd overall among all evaluated models and 2nd on agentic benchmarks. We release both GLM-4.5 (355B parameters) and a compact version, GLM-4.5-Air (106B parameters), to advance research in reasoning and agentic AI systems. Code, models, and more information are available at https://github.com/zai-org/GLM-4.5.			Open weights (unrestricted)	China,China	2025-09-12 16:12:01+00:00						Industry,Academia
GLM-4V-9B	Zhipu AI,Tsinghua University	2024-06-18	ChatGLM: A Family of Large Language Models from GLM-130B to GLM-4 All Tools	9000000000		6ND = 6 FLOP / token / parameter * 9000000000 parameters * 10000000000000 tokens = 54*10^(9+13)=5.4*10^23 FLOP  "GLM-4-9B is pre-trained on approximately ten trillion tokens of multilingual corpus with a context length of 8192 (8K) and post-trained with the same pipeline and data used for GLM-4 (0520)". 			Likely	We introduce ChatGLM, an evolving family of large language models that we have been developing over time. This report primarily focuses on the GLM-4 language series, which includes GLM-4, GLM-4-Air, and GLM-4-9B. They represent our most capable models that are trained with all the insights and lessons gained from the preceding three generations of ChatGLM. To date, the GLM-4 models are pre-trained on ten trillions of tokens mostly in Chinese and English, along with a small set of corpus from 24 languages, and aligned primarily for Chinese and English usage. The high-quality alignment is achieved via a multi-stage post-training process, which involves supervised fine-tuning and learning from human feedback. Evaluations show that GLM-4 1) closely rivals or outperforms GPT-4 in terms of general metrics such as MMLU, GSM8K, MATH, BBH, GPQA, and HumanEval, 2) gets close to GPT-4-Turbo in instruction following as measured by IFEval, 3) matches GPT-4 Turbo (128K) and Claude 3 for long context tasks, and 4) outperforms GPT-4 in Chinese alignments as measured by AlignBench. The GLM-4 All Tools model is further aligned to understand user intent and autonomously decide when and which tool(s) touse -- including web browser, Python interpreter, text-to-image model, and user-defined functions -- to effectively complete complex tasks. In practical applications, it matches and even surpasses GPT-4 All Tools in tasks like accessing online information via web browsing and solving math problems using Python interpreter. Over the course, we have open-sourced a series of models, including ChatGLM-6B (three generations), GLM-4-9B (128K, 1M), GLM-4V-9B, WebGLM, and CodeGeeX, attracting over 10 million downloads on Hugging face in the year 2023 alone. The open models can be accessed through this https URL and this https URL.			Open weights (non-commercial)	China,China	2025-09-12 16:18:30+00:00						Industry,Academia
GLM-4	Zhipu AI	2024-01-17	ChatGLM: A Family of Large Language Models from GLM-130B to GLM-4 All Tools						Confident	We introduce ChatGLM, an evolving family of large language models that we have been developing over time. This report primarily focuses on the GLM-4 language series, which includes GLM-4, GLM-4-Air, and GLM-4-9B. They represent our most capable models that are trained with all the insights and lessons gained from the preceding three generations of ChatGLM. To date, the GLM-4 models are pre-trained on ten trillions of tokens mostly in Chinese and English, along with a small set of corpus from 24 languages, and aligned primarily for Chinese and English usage. The high-quality alignment is achieved via a multi-stage post-training process, which involves supervised fine-tuning and learning from human feedback. Evaluations show that GLM-4 1) closely rivals or outperforms GPT-4 in terms of general metrics such as MMLU, GSM8K, MATH, BBH, GPQA, and HumanEval, 2) gets close to GPT-4-Turbo in instruction following as measured by IFEval, 3) matches GPT-4 Turbo (128K) and Claude 3 for long context tasks, and 4) outperforms GPT-4 in Chinese alignments as measured by AlignBench. The GLM-4 All Tools model is further aligned to understand user intent and autonomously decide when and which tool(s) touse -- including web browser, Python interpreter, text-to-image model, and user-defined functions -- to effectively complete complex tasks. In practical applications, it matches and even surpasses GPT-4 All Tools in tasks like accessing online information via web browsing and solving math problems using Python interpreter. Over the course, we have open-sourced a series of models, including ChatGLM-6B (three generations), GLM-4-9B (128K, 1M), GLM-4V-9B, WebGLM, and CodeGeeX, attracting over 10 million downloads on Hugging face in the year 2023 alone. The open models can be accessed through this https URL and this https URL.			Hosted access (no API)	China	2025-09-12 16:18:30+00:00						Industry
grok-4	xAI	2025-07-09	Grok 4		5.00E+26	We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:  2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4) 1.1 * (grok3/1.01) in the low case The geometric mean is (rounded to one sig fig): 5e26 	Unspecified unreleased		Speculative	Grok 4 is the most intelligent model in the world. It includes native tool use and real-time search integration, and is available now to SuperGrok and Premium+ subscribers, as well as through the xAI API. We are also introducing a new SuperGrok Heavy tier with access to Grok 4 Heavy - the most powerful version of Grok 4.			API access	United States of America	2025-09-12 17:32:20+00:00		"we utilized Colossus, our 200,000 GPU cluster, to run reinforcement learning training that refines Grok's reasoning abilities at pretraining scale"				Industry
Grok-3-mini	xAI	2025-02-19					Unspecified unreleased		Unknown				Hosted access (no API)	United States of America	2025-08-22 13:47:44+00:00						Industry
Grok-2	xAI	2024-08-13	Grok-2 Beta Release		2.96E+25	Estimate based on xAI statements comparing Grok-2 compute to GPT-4 and Grok-3. Full estimate here: https://docs.google.com/document/d/1C_dABuZrAqYE_ui4_GZ4bRLtq3TBjIGoBSktaPElhEU/edit?usp=sharing	Unspecified unreleased		Confident	Grok-2 is our frontier language model with state-of-the-art reasoning capabilities. This release includes two members of the Grok family: Grok-2 and Grok-2 mini. Both models are now being released to Grok users on the 𝕏 platform.			Hosted access (no API)	United States of America	2025-08-11 14:22:24+00:00						Industry
Grok-2-mini	xAI	2024-08-13	Grok-2 Beta Release				Unspecified unreleased		Unknown	Grok-2 is our frontier language model with state-of-the-art reasoning capabilities. This release includes two members of the Grok family: Grok-2 and Grok-2 mini. Both models are now being released to Grok users on the 𝕏 platform.			Hosted access (no API)	United States of America	2025-05-13 05:38:48+00:00						Industry
OpenChat-13b	Tsinghua University,Shanghai AI Lab,01.AI	2023-09-20	OpenChat: Advancing Open-source Language Models with Mixed-Quality Data	13000000000	7.81E+22	The developers only fine-tuned Llama-2-13b, according to arxiv.org/pdf/2309.11235.  Finetune FLOP: 5.23e19 Base model FLOP: 7.8e+22 Total: 78052170300000010000000			Confident	Nowadays, open-source large language models like LLaMA have emerged. Recent developments have incorporated supervised fine-tuning (SFT) and reinforcement learning fine-tuning (RLFT) to align these models with human goals. However, SFT methods treat all training data with mixed quality equally, while RLFT methods require high-quality pairwise or ranking-based preference data. In this study, we present a novel framework, named OpenChat, to advance open-source language models with mixed-quality data. Specifically, we consider the general SFT training data, consisting of a small amount of expert data mixed with a large proportion of sub-optimal data, without any preference labels. We propose the C(onditioned)-RLFT, which regards different data sources as coarse-grained reward labels and learns a class-conditioned policy to leverage complementary data quality information. Interestingly, the optimal policy in C-RLFT can be easily solved through single-stage, RL-free supervised learning, which is lightweight and avoids costly human preference labeling. Through extensive experiments on three standard benchmarks, our openchat-13b fine-tuned with C-RLFT achieves the highest average performance among all 13b open-source language models. Moreover, we use AGIEval to validate the model generalization performance, in which only openchat-13b surpasses the base model. Finally, we conduct a series of analyses to shed light on the effectiveness and robustness of OpenChat. Our code, data, and models are publicly available at https://github.com/imoneoi/openchat and https://huggingface.co/openchat.	5		Open weights (unrestricted)	China,China,China	2025-08-01 16:23:10+00:00						Academia,Academia,Industry
GLM-4-9B-0414	Tsinghua University	2025-04-14	GLM-4-9B-0414	9000000000	8.10E+23	Assuming it was trained on the same 15T dataset as 32B model:  6 FLOP / parameter / token * 9 * 10^9 parameters * 15 * 10^12 tokens = 8.1e+23 FLOP   "Likely" confidence due to the uncertain dataset size	Unspecified unreleased		Likely	Finally, GLM-Z1-9B-0414 is a surprise. We employed all the aforementioned techniques to train a small model (9B). GLM-Z1-9B-0414 exhibits excellent capabilities in mathematical reasoning and general tasks. Its overall performance is top-ranked among all open-source models of the same size. Especially in resource-constrained scenarios, this model achieves an excellent balance between efficiency and effectiveness, providing a powerful option for users seeking lightweight deployment.			Open weights (unrestricted)	China	2025-08-11 14:56:58+00:00						Academia
Sonar	Perplexity	2025-02-11	Meet new Sonar: A Blazing Fast Model Optimized for Perplexity Search	70000000000			Unspecified unreleased		Confident	Starting today, all Perplexity Pro users will be able to try out the latest version of Sonar, Perplexity's in-house model that is optimized for answer quality and user experience. Built on top of Llama 3.3 70B, Sonar has been further trained to enhance answer factuality and readability for Perplexity’s default search mode.  Through comprehensive online A/B testing, we have found that Sonar significantly outperforms models in its class, like GPT-4o mini and Claude 3.5 Haiku, while closely matching or exceeding the performance of frontier models like GPT-4o and Claude 3.5 Sonnet for user satisfaction. Powered by Cerebras inference infrastructure, Sonar runs at a blazing fast speed of 1200 tokens per second — enabling nearly instant answer generation.			API access	United States of America	2025-06-11 14:38:36+00:00						Industry
