Species,anthropic/claude-3-sonnet,anthropic/claude-sonnet-4,deepseek/deepseek-chat-v3-0324,deepseek/deepseek-r1-0528,google/gemini-2.5-flash,google/gemini-2.5-flash-lite,google/gemma-3-27b-it,meta-llama/llama-3.3-70b-instruct,mistralai/mistral-nemo,moonshotai/kimi-k2,openai/gpt-4,openai/gpt-4.1,openai/gpt-4.1-nano,openai/gpt-4o,openai/gpt-4o-mini,openai/gpt-5,openai/gpt-5-nano,openai/gpt-oss-120b,openai/gpt-oss-20b,openai/o4-mini,perplexity/sonar-reasoning-pro,x-ai/grok-3-mini
Escherichia coli,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Staphylococcus aureus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Pseudomonas aeruginosa,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Helicobacter pylori,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,NA,Extensive
Mycobacterium tuberculosis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Bacillus subtilis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptococcus pneumoniae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Klebsiella pneumoniae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Listeria monocytogenes,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Haemophilus influenzae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Streptococcus pyogenes,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Lactobacillus acidophilus,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Bacillus thuringiensis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Salmonella enterica,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Neisseria gonorrhoeae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Vibrio cholerae,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Staphylococcus epidermidis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Clostridium perfringens,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Inference Failed,Extensive,Extensive,Extensive,Extensive
Enterococcus faecium,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
Acinetobacter baumannii,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,NA,Extensive
Neisseria meningitidis,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,No Result,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive,Extensive
