====================================================================================================
CLAUDE-3.5-SONNET BIOSAFETY: FULL COMPARISON
====================================================================================================

Fetching predictions for 'anthropic/claude-3.5-sonnet'...
Fetching ground truth biosafety levels...
Loaded 3741 ground-truth species with biosafety labels.

Building comparison table...
Total ground-truth species compared: 3741
Status counts:
  match: 3252
  mismatch: 456
  missing: 33

Mismatches by ground-truth → predicted:
  BSL-1 → BSL-2: 368
  BSL-2 → BSL-1: 79
  BSL-1 → BSL-3: 6
  BSL-2 → BSL-3: 3

FULL TABLE (species, GT, Claude, status):
Species                                  |   GT    | Claude  |  Status  
------------------------------------------------------------------------
[Clostridium] innocuum                   |  BSL-2  |  BSL-1  | mismatch 
[Clostridium] leptum                     |  BSL-1  |  BSL-1  |   match  
[Corynebacterium] ilicis                 |  BSL-1  |  BSL-1  |   match  
[Curtobacterium] plantarum               |  BSL-1  |  BSL-1  |   match  
[Haemophilus] piscium                    |  BSL-1  |  BSL-2  | mismatch 
[Mycoplasma] mobile                      |  BSL-2  |  BSL-2  |   match  
[Ochrobactrum] teleogrylli               |  BSL-1  |  BSL-1  |   match  
[Pseudomonas] carboxydohydrogena         |  BSL-2  |  BSL-1  | mismatch 
Acetobacter conturbans                   |  BSL-1  |  BSL-1  |   match  
Acetobacter musti                        |  BSL-1  |  BSL-1  |   match  
Acetobacter pasteurianus                 |  BSL-1  |  BSL-1  |   match  
Acetobacter sicerae                      |  BSL-1  |  BSL-1  |   match  
Acetomicrobium flavidum                  |  BSL-1  |  BSL-1  |   match  
Acetomicrobium mobile                    |  BSL-1  |  BSL-1  |   match  
Achromobacter agilis                     |  BSL-2  |  BSL-1  | mismatch 
Achromobacter animicus                   |  BSL-1  |  BSL-2  | mismatch 
Achromobacter anxifer                    |  BSL-2  |  BSL-2  |   match  
Achromobacter deleyi                     |  BSL-1  |  BSL-2  | mismatch 
Achromobacter denitrificans              |  BSL-2  |  BSL-2  |   match  
Achromobacter dolens                     |  BSL-2  |  BSL-2  |   match  
Achromobacter insolitus                  |  BSL-1  |  BSL-2  | mismatch 
Achromobacter kerstersii                 |  BSL-1  |  BSL-2  | mismatch 
Achromobacter marplatensis               |  BSL-2  |  BSL-2  |   match  
Achromobacter mucicolens                 |  BSL-2  |  BSL-2  |   match  
Achromobacter pestifer                   |  BSL-1  |  BSL-2  | mismatch 
Achromobacter piechaudii                 |  BSL-1  |  BSL-2  | mismatch 
Achromobacter pulmonis                   |  BSL-1  |  BSL-2  | mismatch 
Achromobacter ruhlandii                  |  BSL-2  |  BSL-2  |   match  
Achromobacter spanius                    |  BSL-1  |  BSL-2  | mismatch 
Achromobacter xylosoxidans               |  BSL-2  |  BSL-2  |   match  
Acidibrevibacterium fodinaquatile        |  BSL-1  |  BSL-1  |   match  
Acidiphilium cryptum                     |  BSL-1  |  BSL-1  |   match  
Acidiphilium multivorum                  |  BSL-1  |  BSL-1  |   match  
Acidiphilium organovorum                 |  BSL-1  |  BSL-1  |   match  
Acidipropionibacterium acidipropionici   |  BSL-1  |  BSL-1  |   match  
Acidithiobacillus ferrianus              |  BSL-1  |  BSL-1  |   match  
Acidithiobacillus ferridurans            |  BSL-1  |  BSL-1  |   match  
Acidithiobacillus ferriphilus            |  BSL-1  |  BSL-1  |   match  
Acidithiobacillus ferrivorans            |  BSL-1  |  BSL-1  |   match  
Acidovorax carolinensis                  |  BSL-1  |  BSL-1  |   match  
Acidovorax defluvii                      |  BSL-1  |  BSL-1  |   match  
Acidovorax facilis                       |  BSL-1  |  BSL-1  |   match  
Acidovorax temperans                     |  BSL-1  |  BSL-1  |   match  
Acinetobacter albensis                   |  BSL-1  |  BSL-1  |   match  
Acinetobacter apis                       |  BSL-1  |  BSL-2  | mismatch 
Acinetobacter baumannii                  |  BSL-2  |  BSL-2  |   match  
Acinetobacter beijerinckii               |  BSL-2  |  BSL-1  | mismatch 
Acinetobacter brisouii                   |  BSL-2  |  BSL-1  | mismatch 
Acinetobacter equi                       |  BSL-1  |  BSL-2  | mismatch 
Acinetobacter geminorum                  |  BSL-2  |  BSL-1  | mismatch 
Acinetobacter guerrae                    |  BSL-2  |  BSL-2  |   match  
Acinetobacter gyllenbergii               |  BSL-2  |  BSL-2  |   match  
Acinetobacter junii                      |  BSL-2  |  BSL-2  |   match  
Acinetobacter kanungonis                 |  BSL-2  |  BSL-1  | mismatch 
Acinetobacter kookii                     |  BSL-1  |  BSL-1  |   match  
Acinetobacter lactucae                   |  BSL-2  |  BSL-1  | mismatch 
Acinetobacter lanii                      |  BSL-1  |  BSL-1  |   match  
Acinetobacter lwoffii                    |  BSL-2  |  BSL-2  |   match  
Acinetobacter modestus                   |  BSL-2  |  BSL-1  | mismatch 
Acinetobacter nematophilus               |  BSL-2  |  BSL-2  |   match  
Acinetobacter nosocomialis               |  BSL-2  |  BSL-2  |   match  
Acinetobacter pittii                     |  BSL-2  |  BSL-2  |   match  
Acinetobacter pragensis                  |  BSL-1  |  BSL-2  | mismatch 
Acinetobacter proteolyticus              |  BSL-2  |  BSL-2  |   match  
Acinetobacter radioresistens             |  BSL-1  |  BSL-1  |   match  
Acinetobacter rathckeae                  |  BSL-1  |  BSL-1  |   match  
Acinetobacter seifertii                  |  BSL-2  |  BSL-2  |   match  
Acinetobacter silvestris                 |  BSL-1  |  BSL-1  |   match  
Acinetobacter tandoii                    |  BSL-2  |  BSL-1  | mismatch 
Acinetobacter terrae                     |  BSL-1  |  BSL-1  |   match  
Acinetobacter terrestris                 |  BSL-1  |  BSL-1  |   match  
Acinetobacter tjernbergiae               |  BSL-1  |  BSL-1  |   match  
Actinobacillus pleuropneumoniae          |  BSL-2  |  BSL-2  |   match  
Actinobaculum massiliense                |  BSL-2  |  BSL-2  |   match  
Actinobaculum suis                       |  BSL-2  |  BSL-2  |   match  
Actinokineospora acnipugnans             |  BSL-1  |  BSL-1  |   match  
Actinokineospora baliensis               |  BSL-1  |  BSL-1  |   match  
Actinokineospora cianjurensis            |  BSL-1  |  BSL-1  |   match  
Actinokineospora cibodasensis            |  BSL-1  |  BSL-1  |   match  
Actinokineospora globicatena             |  BSL-1  |  BSL-1  |   match  
Actinokineospora guangxiensis            |  BSL-1  |  BSL-1  |   match  
Actinomadura apis                        |  BSL-1  |  BSL-1  |   match  
Actinomadura atramentaria                |  BSL-1  |  BSL-1  |   match  
Actinomadura bangladeshensis             |  BSL-1  |  BSL-1  |   match  
Actinomadura barringtoniae               |  BSL-1  |  BSL-1  |   match  
Actinomadura chokoriensis                |  BSL-1  |  BSL-1  |   match  
Actinomadura citrea                      |  BSL-1  |  BSL-1  |   match  
Actinomadura darangshiensis              |  BSL-1  |  BSL-1  |   match  
Actinomadura fibrosa                     |  BSL-1  |  BSL-1  |   match  
Actinomadura formosensis                 |  BSL-1  |  BSL-1  |   match  
Actinomadura geliboluensis               |  BSL-1  |  BSL-1  |   match  
Actinomadura glauciflava                 |  BSL-1  |  BSL-1  |   match  
Actinomadura graeca                      |  BSL-1  |  BSL-1  |   match  
Actinomadura jiaoheensis                 |  BSL-1  |  BSL-1  |   match  
Actinomadura lepetitiana                 |  BSL-1  |  BSL-1  |   match  
Actinomadura litoris                     |  BSL-1  |  BSL-1  |   match  
Actinomadura luteofluorescens            |  BSL-1  |  BSL-1  |   match  
Actinomadura macra                       |  BSL-1  |  BSL-1  |   match  
Actinomadura madurae                     |  BSL-2  |  BSL-2  |   match  
Actinomadura mexicana                    |  BSL-1  |  BSL-1  |   match  
Actinomadura meyerae                     |  BSL-1  |  BSL-2  | mismatch 
Actinomadura montaniterrae               |  BSL-1  |  BSL-1  |   match  
Actinomadura napierensis                 |  BSL-1  |  BSL-1  |   match  
Actinomadura nitritigenes                |  BSL-1  |  BSL-1  |   match  
Actinomadura parmotrematis               |  BSL-1  |  BSL-1  |   match  
Actinomadura pelletieri                  |  BSL-2  |  BSL-2  |   match  
