dataset,model,knowledge_group,phenotype,sample_size,balanced_accuracy,precision,recall,f1,num_classes
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,gram_staining,12757,0.6439,0.6599,0.6439,0.6484,3
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,motility,6115,0.7149,0.7102,0.7149,0.7042,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,extreme_environment_tolerance,2083,0.7479,0.648,0.7479,0.6376,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,biofilm_formation,78,0.5139,0.5265,0.5139,0.4336,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,animal_pathogenicity,741,0.8115,0.8494,0.8115,0.8175,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,biosafety_level,11678,0.5608,0.4511,0.5608,0.4861,3
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,host_association,1121,0.8059,0.7386,0.8059,0.7423,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,plant_pathogenicity,10099,0.6182,0.5835,0.6182,0.5976,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,spore_formation,11142,0.8863,0.9433,0.8863,0.9111,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,limited,cell_shape,4249,0.6423,0.6171,0.6423,0.6241,4
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,extensive,gram_staining,124,0.6274,0.6305,0.6274,0.6284,3
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,extensive,extreme_environment_tolerance,70,0.722,0.6667,0.722,0.6637,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,extensive,animal_pathogenicity,54,0.8292,0.8324,0.8292,0.8305,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,extensive,biosafety_level,89,0.9179,0.7667,0.9179,0.8144,3
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,extensive,host_association,109,0.8263,0.8668,0.8263,0.8422,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,extensive,plant_pathogenicity,71,0.9783,0.7,0.9783,0.7746,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,extensive,cell_shape,91,0.7336,0.7082,0.7336,0.7196,4
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,gram_staining,1292,0.6516,0.6492,0.6516,0.6504,3
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,motility,391,0.7449,0.7737,0.7449,0.7446,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,extreme_environment_tolerance,510,0.7051,0.6557,0.7051,0.659,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,biofilm_formation,69,0.6216,0.8056,0.6216,0.6336,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,animal_pathogenicity,314,0.8408,0.8424,0.8408,0.8415,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,biosafety_level,1033,0.8989,0.8299,0.8989,0.8598,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,host_association,504,0.8195,0.8349,0.8195,0.7969,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,plant_pathogenicity,931,0.8407,0.772,0.8407,0.8022,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,spore_formation,757,0.9507,0.976,0.9507,0.9625,2
LA_Test_Dataset,deepseek/deepseek-chat-v3.1,moderate,cell_shape,622,0.6766,0.6365,0.6766,0.6507,4
LA_Test_Dataset,x-ai/grok-3-mini,limited,gram_staining,8393,0.6361,0.6323,0.6361,0.6342,3
LA_Test_Dataset,x-ai/grok-3-mini,limited,motility,4374,0.7344,0.7304,0.7344,0.732,2
LA_Test_Dataset,x-ai/grok-3-mini,limited,extreme_environment_tolerance,1134,0.8081,0.7345,0.8081,0.7593,2
LA_Test_Dataset,x-ai/grok-3-mini,limited,biofilm_formation,32,0.5208,0.5193,0.5208,0.4057,2
LA_Test_Dataset,x-ai/grok-3-mini,limited,animal_pathogenicity,392,0.8307,0.8498,0.8307,0.8379,2
LA_Test_Dataset,x-ai/grok-3-mini,limited,biosafety_level,7810,0.6028,0.4092,0.6028,0.4452,3
LA_Test_Dataset,x-ai/grok-3-mini,limited,host_association,575,0.8101,0.6797,0.8101,0.6472,2
LA_Test_Dataset,x-ai/grok-3-mini,limited,plant_pathogenicity,6589,0.6255,0.5497,0.6255,0.5696,2
LA_Test_Dataset,x-ai/grok-3-mini,limited,spore_formation,7516,0.9271,0.9259,0.9271,0.9265,2
LA_Test_Dataset,x-ai/grok-3-mini,limited,cell_shape,2633,0.564,0.6185,0.564,0.5863,4
LA_Test_Dataset,x-ai/grok-3-mini,extensive,gram_staining,219,0.6385,0.635,0.6385,0.6365,3
LA_Test_Dataset,x-ai/grok-3-mini,extensive,extreme_environment_tolerance,120,0.7382,0.7503,0.7382,0.7438,2
LA_Test_Dataset,x-ai/grok-3-mini,extensive,animal_pathogenicity,100,0.858,0.858,0.858,0.858,2
LA_Test_Dataset,x-ai/grok-3-mini,extensive,biosafety_level,148,0.9311,0.7658,0.9311,0.8204,3
LA_Test_Dataset,x-ai/grok-3-mini,extensive,host_association,178,0.7613,0.8602,0.7613,0.7831,2
LA_Test_Dataset,x-ai/grok-3-mini,extensive,plant_pathogenicity,142,0.902,0.774,0.902,0.824,2
LA_Test_Dataset,x-ai/grok-3-mini,extensive,spore_formation,52,0.9575,0.9575,0.9575,0.9575,2
LA_Test_Dataset,x-ai/grok-3-mini,extensive,cell_shape,147,0.725,0.6887,0.725,0.7056,4
LA_Test_Dataset,x-ai/grok-3-mini,moderate,gram_staining,3412,0.6519,0.6456,0.6519,0.6486,3
LA_Test_Dataset,x-ai/grok-3-mini,moderate,motility,1286,0.7735,0.7752,0.7735,0.7733,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,extreme_environment_tolerance,1035,0.7994,0.785,0.7994,0.7917,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,biofilm_formation,92,0.5796,0.618,0.5796,0.5772,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,animal_pathogenicity,505,0.8517,0.855,0.8517,0.8531,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,biosafety_level,2951,0.8863,0.7221,0.8863,0.7744,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,host_association,791,0.8105,0.7939,0.8105,0.7565,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,plant_pathogenicity,2615,0.7595,0.7276,0.7595,0.7424,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,spore_formation,2510,0.9675,0.9548,0.9675,0.9609,2
LA_Test_Dataset,x-ai/grok-3-mini,moderate,cell_shape,1488,0.6695,0.6636,0.6695,0.6643,4
