Model,Model_Display,Phenotype,Balanced_Accuracy,Precision,Sample_Size,Metric_Type
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,animal_pathogenicity,0.8395,0.7967,2046,binary
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,biofilm_formation,0.4972,0.7063,253,binary
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,biosafety_level,0.8212,0.5179,3704,multiclass
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,cell_shape,0.6582,0.624,3286,multiclass
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,extreme_environment_tolerance,0.5312,0.1034,3344,binary
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,gram_staining,0.6377,0.6404,3832,multiclass
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,host_association,0.7761,0.6631,2659,binary
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,motility,0.8164,0.7144,2942,binary
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,plant_pathogenicity,0.7408,0.1964,3722,binary
anthropic/claude-3-haiku:beta,claude-3-haiku:beta,spore_formation,0.9201,0.9014,3604,binary
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,animal_pathogenicity,0.7963,0.8833,2049,binary
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,biofilm_formation,0.5079,0.7108,253,binary
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,biosafety_level,0.9144,0.676,3708,multiclass
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,cell_shape,0.7101,0.6008,3293,multiclass
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,extreme_environment_tolerance,0.7236,0.2375,3348,binary
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,gram_staining,0.6536,0.6522,3837,multiclass
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,host_association,0.7338,0.6497,2663,binary
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,motility,0.8978,0.8298,2947,binary
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,plant_pathogenicity,0.76,0.6946,3726,binary
anthropic/claude-3.5-sonnet,claude-3.5-sonnet,spore_formation,0.9363,0.9794,3609,binary
anthropic/claude-sonnet-4,claude-sonnet-4,animal_pathogenicity,0.8189,0.8579,2051,binary
anthropic/claude-sonnet-4,claude-sonnet-4,biofilm_formation,0.4984,0.7068,253,binary
anthropic/claude-sonnet-4,claude-sonnet-4,biosafety_level,0.855,0.6619,3711,multiclass
anthropic/claude-sonnet-4,claude-sonnet-4,cell_shape,0.7093,0.574,3295,multiclass
anthropic/claude-sonnet-4,claude-sonnet-4,extreme_environment_tolerance,0.7005,0.1765,3350,binary
anthropic/claude-sonnet-4,claude-sonnet-4,gram_staining,0.6487,0.6485,3840,multiclass
anthropic/claude-sonnet-4,claude-sonnet-4,host_association,0.68,0.5141,2665,binary
anthropic/claude-sonnet-4,claude-sonnet-4,motility,0.8728,0.7861,2950,binary
anthropic/claude-sonnet-4,claude-sonnet-4,plant_pathogenicity,0.7464,0.5773,3729,binary
anthropic/claude-sonnet-4,claude-sonnet-4,spore_formation,0.9513,0.9431,3612,binary
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,animal_pathogenicity,0.7645,0.8605,2051,binary
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,biofilm_formation,0.5329,0.7222,253,binary
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,biosafety_level,0.8491,0.6622,3709,multiclass
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,cell_shape,0.6934,0.5861,3294,multiclass
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,extreme_environment_tolerance,0.6883,0.2269,3350,binary
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,gram_staining,0.654,0.6517,3779,multiclass
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,host_association,0.6993,0.5474,2663,binary
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,motility,0.868,0.8042,2943,binary
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,plant_pathogenicity,0.7468,0.5864,3727,binary
deepseek/deepseek-chat-v3-0324,deepseek-chat-v3-0324,spore_formation,0.9057,0.9711,3606,binary
