====================================================================================================
COMPLETE LIST: TAIL MORPHOLOGY SPECIES AND MODEL PREDICTIONS
====================================================================================================

Fetching data...

====================================================================================================
SPECIES-BY-SPECIES BREAKDOWN
====================================================================================================

Legend: ✓ = correct (tail), ✗ = wrong (bacillus/other), - = no prediction

Species                                       | gpt-4.1-nano |    gpt-5     |    gpt-4o    | gemini-2.5-p | claude-3.5-s | deepseek-r1  | 
------------------------------------------------------------------------------------------------------------------------------------------
Kitasatospora albolonga                       |    ✗(coc)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Kitasatospora cinereorecta                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Kitasatospora misakiensis                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Salinispora tropica                           |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(coc)    | 
Streptomyces acidiscabies                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces adustus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces alanosinicus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces albaduncus                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces albidochromogenes                |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces albidoflavus                     |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces albiflavescens                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces albiflaviniger                   |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces alboflavus                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces albogriseolus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces alboniger                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces albospinus                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces alfalfae                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces althioticus                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces altiplanensis                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces ambofaciens                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces anthocyanicus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces anulatus                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces apricus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces aquilus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces araujoniae                       |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces arcticus                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces arenae                           |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces asenjonii                        |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces asoensis                         |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces atratus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces atroolivaceus                    |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces aurantiacus                      |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces auratus                          |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces aureocirculatus                  |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
Streptomyces aureoverticillatus               |      ✓       |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    |    ✗(bac)    | 
