species,phenotype,phenotype_label,model_id,model_display,knowledge_group,prediction
Achromobacter xylosoxidans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Acinetobacter junii,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Acinetobacter lwoffii,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Acinetobacter nosocomialis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Acinetobacter pittii,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Alteromonas macleodii,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Bacillus atrophaeus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Bacillus spizizenii,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Bacillus subtilis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Bacteroides caccae,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Bacteroides ovatus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Bacteroides uniformis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Bartonella bacilliformis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Brevibacillus brevis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Burkholderia ambifaria,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Burkholderia cenocepacia,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Burkholderia contaminans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Burkholderia stabilis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Burkholderia vietnamiensis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Citrobacter koseri,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Cutibacterium acnes,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Delftia acidovorans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Desulfovibrio desulfuricans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Erwinia amylovora,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Finegoldia magna,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Geobacillus stearothermophilus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Geobacillus thermodenitrificans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Geobacillus thermoleovorans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Herbaspirillum seropedicae,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Lactiplantibacillus pentosus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Lactobacillus crispatus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Lactobacillus gasseri,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Latilactobacillus sakei,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Mesorhizobium loti,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Mesorhizobium tianshanense,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Methylomonas methanica,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Micrococcus luteus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Mycoplasmopsis fermentans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Nitrosomonas europaea,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Pantoea agglomerans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Pantoea stewartii,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Parabacteroides distasonis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Parabacteroides merdae,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Parageobacillus thermoglucosidasius,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Pectobacterium atrosepticum,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Pectobacterium parmentieri,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Photobacterium phosphoreum,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Priestia megaterium,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Proteus vulgaris,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Pseudomonas savastanoi,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Rhizobium phaseoli,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Rothia mucilaginosa,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Salmonella bongori,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Sinorhizobium fredii,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Sorangium cellulosum,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptococcus pyogenes,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Streptomyces albidoflavus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces echinatus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces kanamyceticus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces luteogriseus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces nodosus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces noursei,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces peucetius,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces phaeochromogenes,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces reticuliscabiei,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces violascens,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Streptomyces xantholiticus,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Vibrio cholerae,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,TRUE
Xanthomonas axonopodis,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Xanthomonas campestris,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Xanthomonas euvesicatoria,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Xanthomonas oryzae,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Xanthomonas perforans,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Xanthomonas phaseoli,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Xanthomonas vasicola,animal_pathogenicity,Animal Pathogenicity,x-ai/grok-3-mini,xAI grok-3-mini,extensive,FALSE
Aeromonas veronii,biosafety_level,Biosafety Level,x-ai/grok-3-mini,xAI grok-3-mini,extensive,biosafety level 2
