binomial_name,Anthropic claude-sonnet-4,Google gemini-2.5-flash-lite,OpenAI gpt-4o,DeepSeek deepseek-chat-v3-0324,OpenAI gpt-oss-20b,OpenAI gpt-oss-120b,xAI grok-3-mini,OpenAI gpt-4.1-nano,OpenAI gpt-5,OpenAI gpt-4,OpenAI gpt-5-nano
[clostridium] innocuum,moderate,moderate,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,moderate
[clostridium] leptum,moderate,moderate,moderate,moderate,extensive,extensive,moderate,extensive,moderate,moderate,NA
[corynebacterium] ilicis,limited,limited,limited,limited,limited,limited,NA,NA,NA,limited,limited
[curtobacterium] plantarum,limited,NA,limited,moderate,limited,NA,NA,moderate,NA,NA,NA
[haemophilus] ducreyi,moderate,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
[haemophilus] piscium,limited,NA,limited,NA,limited,NA,limited,NA,NA,NA,NA
[mycoplasma] mobile,moderate,NA,moderate,moderate,extensive,moderate,moderate,extensive,moderate,moderate,moderate
[ochrobactrum] teleogrylli,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA
[pseudomonas] carboxydohydrogena,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited,NA
[pseudomonas] zhaodongensis,limited,limited,limited,limited,limited,limited,limited,NA,NA,limited,NA
acetobacter conturbans,limited,limited,limited,limited,limited,NA,NA,NA,NA,NA,NA
acetobacter musti,limited,NA,limited,limited,limited,limited,NA,NA,NA,NA,NA
acetobacter pasteurianus,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
acetobacter sicerae,limited,limited,limited,limited,limited,,limited,NA,limited,NA,NA
acetomicrobium flavidum,limited,limited,limited,limited,limited,limited,moderate,NA,limited,NA,NA
acetomicrobium mobile,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,limited
achromobacter aegrifaciens,moderate,limited,limited,limited,limited,NA,moderate,moderate,NA,NA,NA
achromobacter agilis,limited,moderate,limited,moderate,moderate,NA,NA,moderate,NA,NA,limited
achromobacter aloeverae,limited,limited,limited,limited,limited,NA,limited,limited,limited,limited,NA
achromobacter animicus,limited,limited,limited,limited,limited,NA,limited,NA,limited,NA,NA
achromobacter anxifer,limited,limited,limited,limited,NA,NA,limited,moderate,NA,limited,NA
achromobacter deleyi,limited,moderate,limited,moderate,limited,NA,moderate,NA,NA,NA,NA
achromobacter denitrificans,moderate,extensive,moderate,moderate,moderate,moderate,moderate,extensive,moderate,moderate,moderate
achromobacter dolens,limited,limited,limited,moderate,limited,limited,NA,NA,limited,NA,NA
achromobacter insolitus,limited,limited,limited,limited,limited,NA,moderate,moderate,limited,NA,limited
achromobacter insuavis,limited,moderate,limited,limited,limited,limited,limited,moderate,moderate,NA,NA
achromobacter kerstersii,limited,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
achromobacter marplatensis,limited,limited,moderate,limited,limited,limited,limited,moderate,moderate,limited,limited
achromobacter mucicolens,limited,moderate,limited,moderate,limited,limited,limited,moderate,NA,NA,limited
achromobacter pestifer,limited,moderate,limited,moderate,limited,,NA,moderate,NA,NA,NA
achromobacter piechaudii,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,moderate
achromobacter pulmonis,limited,moderate,limited,moderate,limited,limited,limited,moderate,NA,NA,NA
achromobacter ruhlandii,limited,moderate,limited,limited,moderate,limited,limited,extensive,moderate,NA,moderate
achromobacter spanius,limited,limited,limited,moderate,limited,NA,moderate,moderate,moderate,NA,NA
achromobacter veterisilvae,limited,limited,limited,limited,NA,NA,limited,NA,limited,NA,NA
achromobacter xylosoxidans,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
acidibrevibacterium fodinaquatile,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA
acidiphilium cryptum,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
acidiphilium multivorum,moderate,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate,limited,limited
acidiphilium organovorum,limited,moderate,limited,limited,limited,limited,moderate,limited,limited,NA,NA
acidipropionibacterium acidipropionici,moderate,limited,moderate,moderate,moderate,moderate,extensive,extensive,extensive,NA,moderate
acidithiobacillus ferrianus,moderate,limited,limited,limited,limited,NA,NA,NA,limited,NA,NA
acidithiobacillus ferridurans,moderate,limited,moderate,moderate,moderate,moderate,moderate,extensive,moderate,NA,moderate
acidithiobacillus ferriphilus,moderate,moderate,moderate,limited,extensive,moderate,moderate,moderate,moderate,limited,moderate
acidithiobacillus ferrivorans,moderate,moderate,moderate,moderate,moderate,moderate,moderate,extensive,extensive,moderate,moderate
acidovorax carolinensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,NA,NA
acidovorax defluvii,limited,moderate,limited,limited,limited,limited,moderate,moderate,NA,NA,limited
acidovorax facilis,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,NA,NA
acidovorax temperans,limited,moderate,moderate,moderate,limited,limited,limited,moderate,limited,NA,limited
acinetobacter albensis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
acinetobacter amyesii,limited,limited,limited,limited,NA,limited,NA,NA,NA,NA,NA
acinetobacter apis,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
acinetobacter baumannii,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive
acinetobacter beijerinckii,limited,extensive,limited,moderate,limited,limited,moderate,NA,limited,NA,NA
acinetobacter brisouii,limited,limited,limited,limited,limited,limited,NA,limited,limited,NA,limited
acinetobacter chinensis,limited,limited,limited,moderate,limited,moderate,NA,moderate,NA,limited,NA
acinetobacter equi,limited,limited,limited,limited,limited,,limited,limited,limited,NA,NA
acinetobacter geminorum,limited,limited,limited,limited,limited,NA,moderate,NA,limited,limited,NA
acinetobacter guerrae,limited,moderate,limited,limited,limited,limited,NA,moderate,limited,limited,NA
acinetobacter gyllenbergii,limited,limited,moderate,limited,limited,moderate,moderate,moderate,limited,NA,moderate
acinetobacter junii,moderate,extensive,moderate,moderate,moderate,moderate,extensive,extensive,extensive,moderate,moderate
acinetobacter kanungonis,limited,limited,limited,limited,limited,NA,NA,NA,NA,limited,NA
acinetobacter kookii,limited,limited,limited,NA,limited,limited,NA,moderate,limited,NA,NA
acinetobacter lactucae,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
acinetobacter lanii,limited,limited,limited,NA,limited,limited,limited,limited,limited,limited,NA
acinetobacter lwoffii,extensive,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
acinetobacter modestus,limited,limited,limited,moderate,limited,limited,moderate,moderate,limited,limited,limited
acinetobacter nematophilus,limited,limited,limited,limited,limited,NA,NA,moderate,NA,limited,NA
acinetobacter nosocomialis,moderate,extensive,moderate,moderate,extensive,extensive,extensive,extensive,extensive,moderate,moderate
acinetobacter oleivorans,moderate,limited,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,limited
acinetobacter piscicola,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,NA
acinetobacter pittii,moderate,extensive,extensive,moderate,extensive,extensive,extensive,extensive,extensive,moderate,extensive
acinetobacter portensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
acinetobacter pragensis,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
acinetobacter proteolyticus,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
acinetobacter radioresistens,moderate,moderate,moderate,moderate,extensive,extensive,moderate,extensive,moderate,moderate,moderate
acinetobacter rathckeae,limited,limited,limited,limited,moderate,limited,NA,moderate,NA,limited,NA
acinetobacter seifertii,moderate,moderate,moderate,moderate,limited,moderate,moderate,moderate,moderate,limited,limited
acinetobacter sichuanensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
acinetobacter silvestris,limited,limited,limited,limited,limited,limited,moderate,NA,NA,limited,NA
acinetobacter soli,limited,moderate,limited,limited,moderate,limited,moderate,moderate,moderate,NA,limited
acinetobacter tandoii,limited,limited,limited,limited,limited,limited,limited,limited,limited,NA,NA
acinetobacter terrae,limited,limited,limited,limited,limited,limited,moderate,moderate,limited,limited,NA
acinetobacter terrestris,limited,limited,limited,limited,limited,limited,NA,moderate,NA,limited,NA
acinetobacter tibetensis,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited,limited
acinetobacter tjernbergiae,limited,limited,limited,limited,limited,moderate,moderate,moderate,limited,limited,NA
actinobacillus pleuropneumoniae,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,extensive,moderate,extensive
actinobaculum massiliense,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
actinobaculum suis,limited,limited,limited,moderate,,limited,moderate,moderate,moderate,limited,moderate
actinokineospora acnipugnans,limited,limited,limited,limited,NA,limited,limited,NA,NA,limited,NA
actinokineospora baliensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
actinokineospora cianjurensis,limited,limited,limited,limited,limited,limited,limited,NA,limited,limited,limited
actinokineospora cibodasensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
actinokineospora globicatena,limited,limited,limited,limited,limited,limited,limited,moderate,limited,limited,limited
actinokineospora guangxiensis,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited,limited
actinomadura apis,limited,limited,limited,limited,limited,NA,limited,limited,limited,limited,limited
actinomadura atramentaria,limited,NA,limited,limited,moderate,limited,moderate,moderate,NA,NA,NA
