binomial_name	species_level	trait_motility	trait_gram_staining	trait_aerophilicity	trait_extreme_environment_tolerance	trait_biofilm_formation	trait_animal_pathogenicity	trait_biosafety_level	trait_health_association	trait_host_association	trait_plant_pathogenicity	trait_spore_formation	trait_cell_shape	agg_tier	agg_mean	agg_n_ordinal	agg_na_frac	agg_max	agg_min	agg_mode
Escherichia coli	extensive	extensive	extensive	extensive	extensive	extensive	extensive	extensive	extensive	extensive	limited	limited	extensive	extensive	1.6667	12	0.0000	extensive	limited	extensive
Staphylococcus aureus	extensive	limited	extensive	extensive	moderate	extensive	extensive	extensive	moderate	extensive	limited	limited	extensive	moderate	1.3333	12	0.0000	extensive	limited	extensive
Pseudomonas aeruginosa	extensive	extensive	extensive	extensive	extensive	extensive	extensive	extensive	limited	moderate	limited	limited	extensive	moderate	1.4167	12	0.0000	extensive	limited	extensive
Helicobacter pylori	extensive	extensive	extensive	extensive	moderate	moderate	limited	moderate	extensive	extensive	limited	limited	extensive	moderate	1.2500	12	0.0000	extensive	limited	extensive
Mycobacterium tuberculosis	extensive	limited	limited	extensive	moderate	moderate	moderate	extensive	limited	extensive	limited	limited	moderate	moderate	0.8333	12	0.0000	extensive	limited	limited
Bacillus subtilis	extensive	extensive	extensive	extensive	extensive	extensive	limited	extensive	extensive	limited	limited	extensive	extensive	extensive	1.5000	12	0.0000	extensive	limited	extensive
Streptococcus pneumoniae	extensive	limited	extensive	moderate	moderate	extensive	moderate	moderate	moderate	extensive	limited	limited	extensive	moderate	1.0833	12	0.0000	extensive	limited	moderate
Klebsiella pneumoniae	extensive	moderate	extensive	extensive	moderate	extensive	extensive	extensive	moderate	extensive	limited	limited	extensive	moderate	1.4167	12	0.0000	extensive	limited	extensive
Listeria monocytogenes	extensive	extensive	extensive	extensive	extensive	extensive	extensive	extensive	limited	extensive	limited	limited	extensive	extensive	1.5000	12	0.0000	extensive	limited	extensive
Haemophilus influenzae	extensive	moderate	extensive	extensive	moderate	moderate	limited	moderate	moderate	extensive	limited	limited	moderate	moderate	1.0000	12	0.0000	extensive	limited	moderate
Streptococcus pyogenes	extensive	limited	extensive	extensive	moderate	extensive	moderate	extensive	limited	extensive	limited	limited	extensive	moderate	1.1667	12	0.0000	extensive	limited	extensive
Lactobacillus acidophilus	extensive	limited	extensive	moderate	moderate	moderate	limited	moderate	extensive	moderate	limited	limited	extensive	moderate	0.9167	12	0.0000	extensive	limited	moderate
Bacillus thuringiensis	extensive	moderate	extensive	moderate	moderate	moderate	limited	moderate	limited	moderate	limited	extensive	extensive	moderate	1.0000	12	0.0000	extensive	limited	moderate
