k	rho_median	ci_low	ci_high	rho_min	rho_max	n_subsets	n_species_used
1	0.4062	0.1332	0.6066	0.1090	0.6206	12	2277
2	0.5282	0.1869	0.6517	0.1623	0.6737	66	2773
3	0.5593	0.2538	0.6626	0.1809	0.6840	220	2950
4	0.5802	0.3255	0.6667	0.2377	0.6814	300	3154
5	0.5921	0.3868	0.6718	0.3212	0.6799	300	3176
6	0.6134	0.4657	0.6664	0.3808	0.6755	300	3208
7	0.6171	0.5016	0.6689	0.4276	0.6746	300	3216
8	0.6279	0.5374	0.6682	0.4712	0.6708	300	3223
9	0.6306	0.5612	0.6672	0.5371	0.6682	220	3235
10	0.6423	0.5908	0.6646	0.5668	0.6650	66	3237
11	0.6483	0.6184	0.6598	0.6173	0.6620	12	3238
12	0.6491	0.6491	0.6491	0.6491	0.6491	1	3239
