	species_level	trait_motility	trait_gram_staining	trait_aerophilicity	trait_extreme_environment_tolerance	trait_biofilm_formation	trait_animal_pathogenicity	trait_biosafety_level	trait_health_association	trait_host_association	trait_plant_pathogenicity	trait_spore_formation	trait_cell_shape
species_level	1.000	0.451	0.306	0.621	0.526	0.570	0.344	0.515	0.361	0.331	0.109	0.197	0.520
trait_motility	0.451	1.000	0.302	0.572	0.570	0.532	0.300	0.435	0.182	0.372	0.189	0.229	0.457
trait_gram_staining	0.306	0.302	1.000	0.355	0.307	0.367	0.204	0.283	0.272	0.293	0.045	0.151	0.391
trait_aerophilicity	0.621	0.572	0.355	1.000	0.587	0.533	0.309	0.477	0.303	0.377	0.089	0.169	0.571
trait_extreme_environment_tolerance	0.526	0.570	0.307	0.587	1.000	0.605	0.383	0.566	0.308	0.342	0.138	0.243	0.445
trait_biofilm_formation	0.570	0.532	0.367	0.533	0.605	1.000	0.382	0.665	0.440	0.427	0.160	0.141	0.392
trait_animal_pathogenicity	0.344	0.300	0.204	0.309	0.383	0.382	1.000	0.537	0.308	0.490	-0.069	0.044	0.220
trait_biosafety_level	0.515	0.435	0.283	0.477	0.566	0.665	0.537	1.000	0.437	0.452	0.122	0.158	0.339
trait_health_association	0.361	0.182	0.272	0.303	0.308	0.440	0.308	0.437	1.000	0.397	-0.057	0.039	0.224
trait_host_association	0.331	0.372	0.293	0.377	0.342	0.427	0.490	0.452	0.397	1.000	0.229	-0.025	0.293
trait_plant_pathogenicity	0.109	0.189	0.045	0.089	0.138	0.160	-0.069	0.122	-0.057	0.229	1.000	-0.039	0.082
trait_spore_formation	0.197	0.229	0.151	0.169	0.243	0.141	0.044	0.158	0.039	-0.025	-0.039	1.000	0.158
trait_cell_shape	0.520	0.457	0.391	0.571	0.445	0.392	0.220	0.339	0.224	0.293	0.082	0.158	1.000
