phylum	phenotype	mean_balanced_accuracy	sem	n_models	n_samples	n_species_in_phylum
Pseudomonadota	gram_staining	0.4501	0.0146	31	52990	1728
Pseudomonadota	motility	0.6542	0.0138	31	42373	1728
Pseudomonadota	extreme_environment_tolerance	0.6360	0.0137	31	48003	1728
Pseudomonadota	biofilm_formation	0.5210	0.0064	31	3962	1728
Pseudomonadota	animal_pathogenicity	0.7445	0.0078	31	23423	1728
Pseudomonadota	biosafety_level	0.7859	0.0239	31	50942	1728
Pseudomonadota	host_association	0.6577	0.0133	31	37143	1728
Pseudomonadota	plant_pathogenicity	0.7205	0.0080	31	50104	1728
Pseudomonadota	spore_formation	0.4947	0.0033	31	50719	1728
Pseudomonadota	cell_shape	0.5067	0.0146	31	50095	1728
Actinomycetota	gram_staining	0.3102	0.0117	31	35889	1169
Actinomycetota	motility	0.5703	0.0120	31	29902	1169
Actinomycetota	extreme_environment_tolerance	0.6213	0.0159	31	29323	1169
Actinomycetota	biofilm_formation		0.0000	0	0	1169
Actinomycetota	animal_pathogenicity	0.7553	0.0157	31	23287	1169
Actinomycetota	biosafety_level	0.6433	0.0263	31	35694	1169
Actinomycetota	host_association	0.6960	0.0208	31	23662	1169
Actinomycetota	plant_pathogenicity	0.6374	0.0092	31	35858	1169
Actinomycetota	spore_formation	0.8798	0.0130	31	35361	1169
Actinomycetota	cell_shape	0.4683	0.0157	31	27769	1169
Bacillota	gram_staining	0.3800	0.0063	31	17507	575
Bacillota	motility	0.7938	0.0193	31	12350	575
Bacillota	extreme_environment_tolerance	0.5495	0.0110	31	15791	575
Bacillota	biofilm_formation	0.5705	0.0141	31	1798	575
Bacillota	animal_pathogenicity	0.7572	0.0097	31	8821	575
Bacillota	biosafety_level	0.8161	0.0237	31	16432	575
Bacillota	host_association	0.7170	0.0134	31	12506	575
Bacillota	plant_pathogenicity	0.4856	0.0030	31	17269	575
Bacillota	spore_formation	0.9063	0.0151	31	16309	575
Bacillota	cell_shape	0.9028	0.0267	31	13525	575
Bacteroidota	gram_staining	0.4655	0.0141	31	4984	163
Bacteroidota	motility	0.6260	0.0206	31	3347	163
Bacteroidota	extreme_environment_tolerance	0.6147	0.0120	31	4180	163
Bacteroidota	biofilm_formation		0.0000	0	0	163
Bacteroidota	animal_pathogenicity	0.6516	0.0092	31	2414	163
Bacteroidota	biosafety_level	0.7412	0.0206	31	4612	163
Bacteroidota	host_association	0.7018	0.0182	31	2445	163
Bacteroidota	plant_pathogenicity	0.5037	0.0153	31	4891	163
Bacteroidota	spore_formation	0.4986	0.0011	31	4646	163
Bacteroidota	cell_shape	0.7288	0.0570	31	4737	163
Euryarchaeota	gram_staining	0.3521	0.0180	31	2067	70
Euryarchaeota	motility	0.5818	0.0184	31	867	70
Euryarchaeota	extreme_environment_tolerance	0.5893	0.0243	31	2166	70
Euryarchaeota	biofilm_formation		0.0000	0	0	70
Euryarchaeota	animal_pathogenicity	0.5000	0.0000	31	1763	70
Euryarchaeota	biosafety_level	0.8929	0.0459	31	2162	70
Euryarchaeota	host_association	0.4488	0.0190	31	1918	70
Euryarchaeota	plant_pathogenicity	0.4988	0.0008	31	2165	70
Euryarchaeota	spore_formation	0.4807	0.0102	31	1734	70
Euryarchaeota	cell_shape	0.5894	0.0368	31	1137	70
Campylobacterota	gram_staining	0.9239	0.0365	31	1454	47
Campylobacterota	motility	0.4892	0.0087	31	960	47
Campylobacterota	extreme_environment_tolerance		0.0000	0	0	47
Campylobacterota	biofilm_formation		0.0000	0	0	47
Campylobacterota	animal_pathogenicity	0.4584	0.0130	31	1177	47
Campylobacterota	biosafety_level	0.4958	0.0098	31	1392	47
Campylobacterota	host_association	0.4978	0.0088	31	1177	47
Campylobacterota	plant_pathogenicity	0.4993	0.0005	31	1363	47
Campylobacterota	spore_formation	0.4985	0.0015	31	1363	47
Campylobacterota	cell_shape	0.4615	0.0605	31	1420	47
Other	gram_staining	0.5808	0.0350	31	1361	45
Other	motility		0.0000	0	0	45
Other	extreme_environment_tolerance	0.7839	0.0150	31	1330	45
Other	biofilm_formation		0.0000	0	0	45
Other	animal_pathogenicity	0.8639	0.0101	31	1114	45
Other	biosafety_level	0.8910	0.0199	31	1299	45
Other	host_association	0.8481	0.0204	31	1268	45
Other	plant_pathogenicity	0.4981	0.0016	31	1330	45
Other	spore_formation		0.0000	0	0	45
Other	cell_shape	0.7244	0.0420	31	1138	45
Spirochaetota	gram_staining	0.8019	0.0542	31	1331	43
Spirochaetota	motility	0.5858	0.0368	31	992	43
Spirochaetota	extreme_environment_tolerance	0.6806	0.0236	31	1333	43
Spirochaetota	biofilm_formation		0.0000	0	0	43
Spirochaetota	animal_pathogenicity	0.8097	0.0198	31	930	43
Spirochaetota	biosafety_level	0.5364	0.0172	31	1209	43
Spirochaetota	host_association	0.7981	0.0424	31	1301	43
Spirochaetota	plant_pathogenicity	0.5000	0.0000	31	1331	43
Spirochaetota	spore_formation		0.0000	0	0	43
Spirochaetota	cell_shape	0.7918	0.0661	30	1211	43
Myxococcota	gram_staining	0.3747	0.0214	31	1115	36
Myxococcota	motility		0.0000	0	0	36
Myxococcota	extreme_environment_tolerance	0.3660	0.0273	31	1116	36
Myxococcota	biofilm_formation		0.0000	0	0	36
Myxococcota	animal_pathogenicity		0.0000	0	0	36
Myxococcota	biosafety_level	0.6995	0.0596	31	1116	36
Myxococcota	host_association	0.4055	0.0251	31	1085	36
Myxococcota	plant_pathogenicity	0.4830	0.0057	31	1116	36
Myxococcota	spore_formation	0.2249	0.0301	31	1085	36
Myxococcota	cell_shape	0.3767	0.0299	31	868	36
